日期 (T0),股票代码,信号,T0 开盘价,T0 收盘价,T0 成交量,T0 5日均量,T+1 开盘价,T+1 开盘涨跌幅(%),T+1 收盘价,T+1 收盘涨跌幅(%),T+2 开盘价,T+2 开盘涨跌幅(%),T+2 收盘价,T+2 收盘涨跌幅(%),T+3 开盘价,T+3 开盘涨跌幅(%),T+3 收盘价,T+3 收盘涨跌幅(%),T+4 开盘价,T+4 开盘涨跌幅(%),T+4 收盘价,T+4 收盘涨跌幅(%),T+5 开盘价,T+5 开盘涨跌幅(%),T+5 收盘价,T+5 收盘涨跌幅(%)
2026-03-17,COR,Buy 9,340.0,334.71,1330368,1098853,,,,,,,,,,,,,,,,,,,,
2026-03-17,EXR,Buy 9,143.42,138.36,1703405,1370461,,,,,,,,,,,,,,,,,,,,
2026-03-17,JBHT,Buy 9,204.06,200.12,1372622,1053084,,,,,,,,,,,,,,,,,,,,
2026-03-16,HII,Buy 9,414.0,416.59,685200,431160,417.37,0.19,422.94,1.52,,,,,,,,,,,,,,,,
2026-03-16,IEX,Buy 9,189.56,189.57,840900,693080,191.23,0.88,190.39,0.43,,,,,,,,,,,,,,,,
2026-03-13,BKR,Buy 9,55.88,54.26,17460000,13721100,54.47,0.39,55.19,1.71,56.13,1.7,57.0,3.28,,,,,,,,,,,,
2026-03-13,IP,Buy 9,36.62,37.25,8716000,6777700,37.65,1.07,37.54,0.78,38.14,1.6,37.39,-0.4,,,,,,,,,,,,
2026-03-13,ISRG,Buy 9,478.0,472.16,2489800,1806340,473.32,0.25,483.46,2.39,487.52,0.84,482.76,-0.14,,,,,,,,,,,,
2026-03-13,PODD,Buy 9,226.14,219.84,2117000,1140400,222.8,1.35,224.66,2.19,225.78,0.5,230.49,2.6,,,,,,,,,,,,
2026-03-12,ARE,Buy 9,49.78,50.25,2968000,2008280,51.2,1.89,48.41,-3.66,48.93,1.07,48.31,-0.21,49.13,1.7,49.4,2.26,,,,,,,,
2026-03-12,CBRE,Buy 9,130.06,131.84,3557100,2620080,133.74,1.44,133.8,1.49,135.8,1.49,135.07,0.95,137.25,1.61,136.28,0.9,,,,,,,,
2026-03-12,DG,Buy 9,131.55,135.95,8687400,4476500,134.93,-0.75,131.84,-3.02,133.07,0.93,134.85,2.28,135.38,0.39,130.93,-2.91,,,,,,,,
2026-03-12,GEHC,Buy 9,71.69,70.33,4776100,3468400,70.99,0.94,70.77,0.63,71.87,1.55,72.17,1.98,72.82,0.9,72.34,0.24,,,,,,,,
2026-03-12,GPC,Buy 9,108.44,107.01,3482700,2272100,108.01,0.93,105.74,-1.19,105.73,-0.01,104.01,-1.64,104.67,0.63,102.82,-1.14,,,,,,,,
2026-03-12,IDXX,Buy 9,592.87,571.21,800600,542220,576.24,0.88,573.82,0.46,577.51,0.64,586.37,2.19,591.85,0.93,586.98,0.1,,,,,,,,
