Date,Clenow 动量 (Stocks on the Move),Minervini 趋势模板,HQM 高质量动量,"多因子动量 (FIP+偏度, Top5)",RSI(2) 均值回归 (Connors),动量 12-1 前 10% (Jegadeesh-Titman),52 周新高接近度 (George-Hwang),低波动 前 25% (long-only),低贝塔 前 10% (Betting Against Beta 多头腿),残差动量 前 10% (Blitz-Huij-Martens),短期反转 周度 10 只,12 个月季节性 (Heston-Sadka),一致性动量 (t−7..t−1 与 t−6..t 双前 10%),历史新高趋势跟踪 + ATR 止损,本仓库 C20 成交额加权 (strategy_final.py),本仓库 v6 动量 Top20 + 趋势过滤 (momentum.py),SPY 买入持有
2010-01-04,0.0,0.0,0.0,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,-0.001
2010-01-05,2.380952327733948e-06,2.380952327733948e-06,2.380952327733948e-06,0.009534362848339311,0.0027931415529430527,2.380952327733948e-06,2.380952327733948e-06,2.380952327733948e-06,2.380952327733948e-06,2.380952327733948e-06,2.380952327733948e-06,2.380952327733948e-06,2.380952327733948e-06,0.02069979101070923,2.380952327733948e-06,2.380952327733948e-06,0.0026473064391716594
2010-01-06,-0.0009723456401906377,1.7857143566721963e-06,1.7857143566721963e-06,-0.0033535354415810837,-0.030799679585458036,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,0.005138536285411973,1.7857143566721963e-06,1.7857143566721963e-06,0.000703753759238257
2010-01-07,0.0024513631613016645,1.7857143566721963e-06,1.7857143566721963e-06,0.0008106779392921342,0.037343458362310795,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,-0.0001002753970227823,1.7857143566721963e-06,1.7857143566721963e-06,0.004221535817081623
2010-01-08,0.006975109495985947,-0.0009984126984481773,1.5873015518226319e-06,-0.0013646160126002183,-0.00521311954560143,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,-0.0009984126984481773,1.5873015518226319e-06,1.5873015518226319e-06,0.003936058596296165,1.5873015518226319e-06,1.5873015518226319e-06,0.0033273118508088118
2010-01-11,0.003236180737470353,0.00383593121534644,9.920635068463902e-07,-0.0085072071433452,0.0024832558507237954,9.920635068463902e-07,9.920635068463902e-07,9.920635068463902e-07,9.920635068463902e-07,9.920635068463902e-07,0.0023931919015483085,9.920635068463902e-07,9.920635068463902e-07,0.004870940323834018,9.920635068463902e-07,9.920635068463902e-07,0.0013967652294819555
2010-01-12,-0.016829586065498836,-0.012061124512034449,1.5873015518226319e-06,-0.028677407398735894,-0.015245524833526184,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,-0.008901252895234793,1.5873015518226319e-06,1.5873015518226319e-06,-0.04075975136477025,1.5873015518226319e-06,1.5873015518226319e-06,-0.009326024248109688
2010-01-13,0.012826919633620896,0.010318969110021907,1.9841270136927804e-06,0.016088170180239832,0.014367715677828614,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,0.003761917179475574,1.9841270136927804e-06,1.9841270136927804e-06,-0.01800652625046062,1.9841270136927804e-06,1.9841270136927804e-06,0.00844633280832463
2010-01-14,0.0021832952145368657,0.0025084225315800896,1.7857143566721963e-06,-0.0018949925028168071,-0.0025482623245712734,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,-0.004512864498715026,1.7857143566721963e-06,1.7857143566721963e-06,-0.014734726171210522,1.7857143566721963e-06,1.7857143566721963e-06,0.002704508566348407
2010-01-15,-0.016504300096894207,-0.012760682481229363,2.182539670713364e-06,-0.012927549844029398,-0.02501441791384442,2.182539670713364e-06,2.182539670713364e-06,2.182539670713364e-06,2.182539670713364e-06,2.182539670713364e-06,-0.014202500546504753,2.182539670713364e-06,2.182539670713364e-06,-0.003947827050085338,2.182539670713364e-06,2.182539670713364e-06,-0.011224005275296767
2010-01-19,0.014620183315202477,0.014194234712390966,1.9841270136927804e-06,0.019680209012385003,0.020854869220874806,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,0.011146991229661406,1.9841270136927804e-06,1.9841270136927804e-06,0.0048521976867718095,1.9841270136927804e-06,1.9841270136927804e-06,0.012495464962728242
2010-01-20,-0.011428920449977576,-0.011898990392552131,1.9841270136927804e-06,-0.005675911705974262,-0.001769533272318541,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,-0.005878383014436451,1.9841270136927804e-06,1.9841270136927804e-06,-0.020707124321039164,1.9841270136927804e-06,1.9841270136927804e-06,-0.010168945636680693
2010-01-21,-0.007851863907648486,-0.018719301449178688,1.5873015518226319e-06,-0.04294784767428508,0.01352679034535072,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,-0.027472208977239797,1.5873015518226319e-06,1.5873015518226319e-06,-0.015232046459894342,1.5873015518226319e-06,1.5873015518226319e-06,-0.01922928102918986
2010-01-22,-0.02483235725277454,-0.025310381114331395,1.7857143566721963e-06,-0.029942160410124503,-0.03331191031758305,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,-0.04514984142621931,1.7857143566721963e-06,1.7857143566721963e-06,-0.006724978376191015,1.7857143566721963e-06,1.7857143566721963e-06,-0.0222916840224322
2010-01-25,0.005354930141854236,0.004314987541277848,1.7857143566721963e-06,-0.005804381108773657,0.0069880816469715,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,0.011512203275661416,1.7857143566721963e-06,1.7857143566721963e-06,0.0,1.7857143566721963e-06,1.7857143566721963e-06,0.005127627167584192
2010-01-26,0.004698477873855098,-0.0054520843305557905,2.579364984754532e-06,-0.00853224342250935,-5.576244725364211e-05,2.579364984754532e-06,2.579364984754532e-06,2.579364984754532e-06,2.579364984754532e-06,2.579364984754532e-06,-0.002313880200560313,2.579364984754532e-06,2.579364984754532e-06,0.007146580879291209,2.579364984754532e-06,2.579364984754532e-06,-0.004190445496713546
2010-01-27,0.0013125960935055359,0.007072969681422783,2.7777777896040964e-06,0.0033957735519100554,0.015376001206758137,2.7777777896040964e-06,2.7777777896040964e-06,2.7777777896040964e-06,2.7777777896040964e-06,2.7777777896040964e-06,0.010302157328574424,2.7777777896040964e-06,2.7777777896040964e-06,0.0016808353305817203,2.7777777896040964e-06,2.7777777896040964e-06,0.004757293377394278
2010-01-28,-0.011779161528794041,-0.01201246247824669,2.7777777896040964e-06,-0.010441952174623305,-0.007523619103858764,2.7777777896040964e-06,2.7777777896040964e-06,2.7777777896040964e-06,2.7777777896040964e-06,2.7777777896040964e-06,-0.02113113632012259,2.7777777896040964e-06,2.7777777896040964e-06,-0.011185631375998373,2.7777777896040964e-06,2.7777777896040964e-06,-0.011472543669614588
2010-01-29,-0.015824172506582093,-0.01362450756530255,-0.000997222222210396,-0.021800903061672584,-0.008127077520436145,-0.0009972222222103958,-0.0003305555555437293,-0.0009972222222103958,-0.0009972222222103958,-0.000997222222210396,-0.028797380669897257,-0.0009972222222103958,2.7777777896040964e-06,-0.009803752860428006,-0.0009972222222103958,-0.000997222222210396,-0.0108680990388752
2010-02-01,0.016211465259536963,0.010410154067440055,0.020839589062026223,6.137895984780796e-05,0.019142697399547715,0.024125462433045544,0.003390202518267141,0.007942677468819666,0.006161472515019683,0.01933456241425954,0.03099888425871855,0.019974800208309253,3.3730159084948284e-06,0.02437149804258909,0.016117461958598853,0.0331119039927698,0.015550532718186849
2010-02-02,0.018559341254815304,0.013925268846613551,0.016286181975572293,0.020212024724856892,0.01663188479605923,0.01882958872937611,0.0049050879974537965,0.011417576409303245,0.015414106500448414,0.022544182654337996,0.011590957158975705,0.011240364221221873,3.5714287133443927e-06,0.039891830751528023,0.012409941420565609,0.016667198009148922,0.012103171694596293
2010-02-03,-0.0029247506525941136,-0.011408428198120452,-0.014655822835483216,-0.02506771807584518,-0.006510022108956516,-0.008431262682052474,-0.003485049790153296,-0.005334433493293371,-0.008454818846141013,-0.013033090090193097,-0.004854126088058056,-0.00021041437174642089,3.5714287133443927e-06,0.014299490204294996,-0.004810448609739953,-0.005325259699941154,-0.004982473048046221
2010-02-04,-0.03453666455833969,-0.032050851663685605,-0.04011610443657537,-0.03406328188755072,-0.03528735213510203,-0.04180623491838463,-0.009454716785568567,-0.023341951752168317,-0.019757563996602223,-0.03549295776347309,-0.050050581471347645,-0.03836257242965945,3.3730159084948284e-06,-0.016267118291478488,-0.035214434904843446,-0.046693629498748994,-0.030865854658781222
2010-02-05,-0.00019312628648487815,-0.0014485483954738872,0.0006734787099937846,-0.0055334994561566575,0.007039815242216354,0.002689107237059497,0.0002952628179092345,0.00038309503211610276,0.0019049709624905274,0.003448046278860783,0.011871464304896792,0.013113732846739515,3.3730159084948284e-06,-0.00787980278950684,0.006097851103076435,0.0024831643519218948,0.0020669923903138265
2010-02-08,-0.007253226839774024,-0.007432453396147763,-0.008528311583378884,-0.00831953931673274,-0.005811863591115201,-0.010219845618812354,-0.002218005193268161,-0.006114973303866447,-0.010807760074777998,-0.00868207795766278,-0.0021808171337276304,-0.0074759215769124015,3.5714287133443927e-06,0.004873441912918386,-0.009926945245276377,-0.0036805200483832753,-0.007219646693806481
2010-02-09,0.015749378024884346,0.013837208245551322,0.01927509139775474,0.011832615897430288,0.029106576116841067,0.023564023932665278,0.004176520221328543,0.010771939323322138,0.014768303710158966,0.01793576439620371,0.008820419804331217,0.011288539565613258,3.968254027385561e-06,0.010418651265757362,0.012679054539471539,0.019928452468730116,0.012560544785478411
2010-02-10,-0.009523598000753057,-0.004484229204109828,-0.004447761974046179,-0.0063564440150729404,-0.013637009850854738,-0.007563467168430742,-0.0011309190331630415,-0.002776923463428112,-0.004815409320909988,-0.00771207346562477,0.020708419722947877,-0.0002051735105098177,3.968254027385561e-06,-0.0033777998343427207,0.00013069402373599786,-0.004951898586819846,-0.0019583807061889225
2010-02-11,0.016529557253292273,0.014620065936985437,0.015498905130275943,0.020641799503914204,-0.0021912743032328806,0.012638881023046864,0.0026874687816497303,0.005081443789881319,0.004732222888936911,0.011538886734404612,-0.005852982451892124,0.015957694173002447,3.7698412225359962e-06,0.014448952253708347,0.01060021967261119,0.014729051305075727,0.010465702700875212
2010-02-12,-0.001970741011322243,-0.002837954080400001,-0.004666619138787238,0.007115550229558974,-0.0075575962201591676,-0.002725279160927214,-0.0010720342379532352,-0.003067789128409078,-0.003970075608494597,-0.0007169571352006487,-0.00597762784452149,-0.002227398902553453,3.5714287133443927e-06,-0.0036926603088317522,-0.002353737158226347,-0.0045005437906042185,-0.0008322429159836053
2010-02-16,0.01381944346262204,0.01919834741123043,0.020817864767882124,0.0044434174395078995,0.01562814439662861,0.025135219353523513,0.005568988003666997,0.01566041036312462,0.013015776924778451,0.025030710839685742,0.017199411673533116,0.015027679680351697,3.3730159084948284e-06,0.03000343158822405,0.020747322827379698,0.027509528813515614,0.015735387928070166
2010-02-17,0.005110354599090566,0.004623701453831962,0.0032059713538535725,0.005016877268458297,0.008210971647422613,0.003138656189916679,0.0019223246760291435,0.0043368035803857995,0.0058692971900569536,0.0007607162373163553,0.012960498403553913,0.0006787856128266324,3.5714287133443927e-06,0.008567673472229309,0.00436295664651748,0.003668363474308609,0.004738183980349087
2010-02-18,0.004626421605820647,0.007540367818069165,0.004833514345419739,0.0064133739834932035,0.0012096271081779228,0.010742401873750333,0.0023955150305191926,0.006586069229485746,0.008303060478371581,0.003041709865083197,0.007740232597637781,0.0005023773184634544,3.3730159084948284e-06,0.010042922246032648,0.005951514459700921,0.017163462456296172,0.005895147882003737
2010-02-19,0.0034518642692270285,0.004193341261682098,0.004856226157538394,0.011882805055872749,0.0005110787864527489,-0.00017606727264689017,0.0017378506115742517,0.005001713294281786,0.003131639589271479,0.002704588949336867,0.008457583894248935,0.002418295156969415,3.7698412225359962e-06,-0.011488201761193768,0.0011111368665008394,0.001327153060299238,0.0020738711729042514
2010-02-22,0.00022709149380583903,-0.0015818300662373067,0.005687599267171144,0.004457765110793442,0.010994387448985588,-0.0005870733636650559,0.0005326153269785529,-0.003929994487214843,-0.0013775314903232989,0.0032793059346948768,0.0026694017619822486,-0.0008126270368871303,3.3730159084948284e-06,-0.0043687530835674745,0.001265454088240282,-0.001939412725296883,0.0001793500005577986
2010-02-23,-0.011749848630512993,-0.013563086705227857,-0.013862496644663177,-0.016039197018787973,-0.018212490334725075,-0.013593029991767206,-0.002764042997091824,-0.007262303816356989,-0.0019399407151724426,-0.015506927741180704,-0.014537279305152417,-0.010481896866447165,4.5634921462762925e-06,-0.013929932908070325,-0.015088340036324446,-0.019931577295794204,-0.012144012600374232
2010-02-24,0.007006913312978928,0.010451356723032455,0.013040146440860812,0.011320130886708002,-0.009040748448829404,0.014929303179962553,0.0030313299052385314,0.004729206068834597,0.00530470960195914,0.016124855869680092,0.010965769502134619,0.007794349103970998,4.365079341426728e-06,0.010351438191683826,0.011426481490376141,0.012693707053633055,0.009197438343098607
2010-02-25,0.0005759325498508908,0.00030382803848887866,0.0013576659031682022,0.005682401043458201,-0.0014141014967621014,-0.0005659479207036016,0.000438132927077951,-0.002009779294339934,0.0020048142726395886,0.0025512401842573305,-0.00015098823476415203,0.0008889677805233779,4.5634921462762925e-06,0.006877131004726605,-0.001675578654172036,-0.003372562423222945,-0.0013536795243718203
2010-02-26,0.004025592834999228,0.0007358357750067472,0.00558245714150335,0.007907559575645855,0.0031545669497770115,-0.00033016066649305153,-0.0004808972191673338,-0.003757550903138577,-0.0033500870081649608,0.0034228902644265614,0.001326541958580805,0.0025021153363403315,-0.00016210317452039036,-0.006709349167829713,0.0021685162367909507,0.0005993970058287279,0.0006326598419905682
2010-03-01,0.023640227454658436,0.013936264817065872,0.02365127210922685,0.022503992901694202,0.01956526060089625,0.022940543011797432,0.007822049523114022,0.010076310336313532,0.008473483376759863,0.016675313494614534,0.008127082300913458,0.010295364148697488,0.004701718833879395,0.015932012080344244,0.010875397738871445,0.02287971331522893,0.01038490483341925
2010-03-02,0.003409497042813982,0.0031834255265015634,0.0011877447885137158,-0.0013461881519327983,0.00632321850155482,0.0072104608449538535,0.0022753298061258106,0.004051992282357765,0.005425587456241741,0.0057630726537403615,0.01216478387337924,-0.0021053844323835657,0.0016093745122068462,-0.0014531180179884523,0.0031497365333586383,0.011732867278893604,0.0027704961576859866
2010-03-03,-0.0014170169208527887,-0.001164194336600296,-0.00403507464516865,0.003757710431652275,-0.0005281022361263417,0.004018205020530271,-0.0009900123735115361,-0.0017987530813501798,0.0017418458938675274,-0.0002905424706920582,0.0066758116409709484,-7.115017142986626e-05,-0.0004795910246415764,-0.0025038982390207694,0.0006793141725186442,0.005998071446644183,0.0008913836385844309
2010-03-04,0.0002772883465742001,0.0028653847168241334,0.005074831652103793,-0.0010970260789225483,0.00915472938550019,0.005579281998344704,0.0021853148303193526,0.002611253027712009,0.002395415350654745,0.00031645532132891025,0.005978254368198606,0.0077060061927622485,0.0009233416286839557,-0.005185849473569537,0.005882551940766408,0.0017345410396003237,0.0030274029520418466
