Date,Clenow 动量 (Stocks on the Move),Minervini 趋势模板,HQM 高质量动量,"多因子动量 (FIP+偏度, Top5)",RSI(2) 均值回归 (Connors),动量 12-1 前 10% (Jegadeesh-Titman),52 周新高接近度 (George-Hwang),低波动 前 25% (long-only),低贝塔 前 10% (Betting Against Beta 多头腿),残差动量 前 10% (Blitz-Huij-Martens),短期反转 周度 10 只,12 个月季节性 (Heston-Sadka),一致性动量 (t−7..t−1 与 t−6..t 双前 10%),历史新高趋势跟踪 + ATR 止损,本仓库 C20 成交额加权 (strategy_final.py),本仓库 v6 动量 Top20 + 趋势过滤 (momentum.py),SPY 买入持有,成分股等权 (月调仓)
2010-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,2.380952327733948e-06,2.380952327733948e-06,2.380952327733948e-06,-0.000997619047672266,-0.000997619047672266,2.380952327733948e-06,2.380952327733948e-06,2.380952327733948e-06,2.380952327733948e-06,2.380952327733948e-06,2.380952327733948e-06,2.380952327733948e-06,2.380952327733948e-06,-0.000997619047672266,2.380952327733948e-06,2.380952327733948e-06,-0.000997619047672266,2.380952327733948e-06
2010-01-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,-0.011571873673011992,-0.03109555457188496,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,0.006085777286008138,1.7857143566721963e-06,1.7857143566721963e-06,0.000703753759238257,1.7857143566721963e-06
2010-01-07,-0.0009723456401906377,1.7857143566721963e-06,1.7857143566721963e-06,0.010717598854466865,0.04946530754474901,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,-0.0001002753970227823,1.7857143566721963e-06,1.7857143566721963e-06,0.004221535817081623,1.7857143566721963e-06
2010-01-08,0.007140723263376374,1.5873015518226319e-06,1.5873015518226319e-06,0.012179772306536786,-0.006441873017704079,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,0.003936058596296165,1.5873015518226319e-06,1.5873015518226319e-06,0.0033273118508088118,1.5873015518226319e-06
2010-01-11,0.0033858861794084628,-0.0009990079364931535,9.920635068463902e-07,-0.008369040594965767,0.0020461382619961378,9.920635068463902e-07,9.920635068463902e-07,9.920635068463902e-07,9.920635068463902e-07,9.920635068463902e-07,-0.0009990079364931535,9.920635068463902e-07,9.920635068463902e-07,0.005348685013552621,9.920635068463902e-07,9.920635068463902e-07,0.0013967652294819555,9.920635068463902e-07
2010-01-12,-0.01755157488147001,-0.012067836899526058,1.5873015518226319e-06,-0.028088057156728262,-0.014391986236733873,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,1.5873015518226319e-06,-0.00892324174334709,1.5873015518226319e-06,1.5873015518226319e-06,-0.03293471188759461,1.5873015518226319e-06,1.5873015518226319e-06,-0.009326024248109688,1.5873015518226319e-06
2010-01-13,0.012232895991877954,0.01036987790615931,1.9841270136927804e-06,0.016790952464365246,0.015487665372959916,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,1.9841270136927804e-06,0.00375589875073409,1.9841270136927804e-06,1.9841270136927804e-06,8.773819579881875e-05,1.9841270136927804e-06,1.9841270136927804e-06,0.00844633280832463,1.9841270136927804e-06
2010-01-14,0.002149778728691158,0.0025045808367235266,1.7857143566721963e-06,-0.0011843142479260633,-0.0049011289541857385,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,1.7857143566721963e-06,-0.004527463336925597,1.7857143566721963e-06,1.7857143566721963e-06,0.004848893756161933,1.7857143566721963e-06,1.7857143566721963e-06,0.002704508566348407,1.7857143566721963e-06
2010-01-15,-0.015541659459543796,-0.012516658303030904,2.182539670713364e-06,-0.020753908091477945,-0.0255343547843013,2.182539670713364e-06,2.182539670713364e-06,2.182539670713364e-06,2.182539670713364e-06,2.182539670713364e-06,-0.012207035707456255,2.182539670713364e-06,2.182539670713364e-06,-0.0049496006373266335,2.182539670713364e-06,2.182539670713364e-06,-0.011224005275296767,2.182539670713364e-06
